2025-12-03 20:45:51,960 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c6194c0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:45:51,961 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c618500>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:45:56,966 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c6197f0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:45:56,967 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c619a30>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:45:56,968 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c619ca0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:46:01,971 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c61c7a0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:46:01,975 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c61c9b0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:46:01,977 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c61cbf0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:46:06,980 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c6194f0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:46:06,982 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c6193a0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:46:06,989 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c619b80>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:46:11,991 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c618410>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:46:11,992 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c618590>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:46:11,993 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c61a960>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:46:16,995 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c6180e0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:46:16,996 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c749c70>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
2025-12-03 20:46:16,997 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f387c617f80>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/e57f06c9a3c3db22d74e44fc57a63169/elements
