timestamp,provider,from_region,to_region,latency_ms
2025-12-03 20:43:49,cloudping.co AWS,ap-east-1,us-east-2,195.23
2025-12-03 20:43:49,cloudping.co AWS,ap-east-1,us-west-1,155.57
2025-12-03 20:43:49,cloudping.co AWS,ap-east-1,us-west-2,146.69
2025-12-03 20:43:49,cloudping.co AWS,ap-east-2,af-south-1,379.21
2025-12-03 20:43:49,cloudping.co AWS,ap-east-2,ap-east-1,29.85
2025-12-03 20:43:49,cloudping.co AWS,ap-east-2,ap-east-2,7.82
2025-12-03 20:43:49,cloudping.co AWS,ap-east-2,ap-northeast-1,37.54
2025-12-03 20:43:49,cloudping.co AWS,ap-east-2,ap-northeast-2,66.85
2025-12-03 20:43:49,cloudping.co AWS,ap-east-2,ap-northeast-3,46.55
2025-12-03 20:43:49,cloudping.co AWS,ap-east-2,ap-south-1,123.57
2025-12-03 20:43:49,cloudping.co AWS,ap-east-2,ap-south-2,93.78
2025-12-03 20:43:49,cloudping.co AWS,ap-east-2,ap-southeast-1,56.20
2025-12-03 20:43:49,cloudping.co AWS,ap-east-2,ap-southeast-2,155.34
2025-12-03 20:43:49,cloudping.co AWS,ap-east-2,ap-southeast-3,72.47
2025-12-03 20:43:49,cloudping.co AWS,ap-east-2,ap-southeast-4,164.55
2025-12-03 20:43:49,cloudping.co AWS,ap-east-2,ap-southeast-5,58.98
2025-12-03 20:43:49,cloudping.co AWS,ap-east-2,ap-southeast-6,183.36
2025-12-03 20:43:49,cloudping.co AWS,ap-east-2,ap-southeast-7,79.82
2025-12-03 20:43:49,cloudping.co AWS,ap-east-2,ca-central-1,183.91
2025-12-03 20:43:49,cloudping.co AWS,ap-east-2,ca-west-1,140.71
2025-12-03 20:43:49,cloudping.co AWS,ap-east-2,eu-central-1,207.67
2025-12-03 20:43:49,cloudping.co AWS,ap-east-2,eu-central-2,200.98
2025-12-03 20:43:49,cloudping.co AWS,ap-east-2,eu-north-1,226.06
2025-12-03 20:43:49,cloudping.co AWS,ap-east-2,eu-south-1,195.70
2025-12-03 20:43:49,cloudping.co AWS,ap-east-2,eu-south-2,229.89
2025-12-03 20:43:49,cloudping.co AWS,ap-east-2,eu-west-1,240.93
2025-12-03 20:43:49,cloudping.co AWS,ap-east-2,eu-west-2,248.03
2025-12-03 20:43:49,cloudping.co AWS,ap-east-2,eu-west-3,217.61
2025-12-03 20:43:49,cloudping.co AWS,ap-east-2,il-central-1,250.89
2025-12-03 20:43:49,cloudping.co AWS,ap-east-2,me-central-1,149.55
2025-12-03 20:43:49,cloudping.co AWS,ap-east-2,me-south-1,148.57
2025-12-03 20:43:49,cloudping.co AWS,ap-east-2,mx-central-1,193.13
2025-12-03 20:43:49,cloudping.co AWS,ap-east-2,sa-east-1,296.84
2025-12-03 20:43:49,cloudping.co AWS,ap-east-2,us-east-1,182.15
2025-12-03 20:43:49,cloudping.co AWS,ap-east-2,us-east-2,166.94
2025-12-03 20:43:49,cloudping.co AWS,ap-east-2,us-west-1,143.68
2025-12-03 20:43:49,cloudping.co AWS,ap-east-2,us-west-2,132.48
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-1,af-south-1,374.95
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-1,ap-east-1,55.61
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-1,ap-east-2,36.21
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-1,ap-northeast-1,7.63
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-1,ap-northeast-2,38.50
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-1,ap-northeast-3,11.45
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-1,ap-south-1,133.96
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-1,ap-south-2,122.44
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-1,ap-southeast-1,71.63
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-1,ap-southeast-2,111.58
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-1,ap-southeast-3,88.21
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-1,ap-southeast-4,136.83
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-1,ap-southeast-5,79.49
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-1,ap-southeast-6,140.35
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-1,ap-southeast-7,100.64
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-1,ca-central-1,160.93
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-1,ca-west-1,111.36
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-1,eu-central-1,234.02
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-1,eu-central-2,224.70
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-1,eu-north-1,250.04
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-1,eu-south-1,220.58
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-1,eu-south-2,239.23
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-1,eu-west-1,205.66
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-1,eu-west-2,214.55
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-1,eu-west-3,224.08
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-1,il-central-1,274.26
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-1,me-central-1,171.99
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-1,me-south-1,175.00
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-1,mx-central-1,160.84
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-1,sa-east-1,260.67
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-1,us-east-1,151.33
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-1,us-east-2,139.06
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-1,us-west-1,112.12
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-1,us-west-2,102.69
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-2,af-south-1,387.47
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-2,ap-east-1,40.17
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-2,ap-east-2,67.03
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-2,ap-northeast-1,37.53
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-2,ap-northeast-2,4.22
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-2,ap-northeast-3,35.05
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-2,ap-south-1,131.76
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-2,ap-south-2,119.83
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-2,ap-southeast-1,72.74
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-2,ap-southeast-2,153.27
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-2,ap-southeast-3,87.11
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-2,ap-southeast-4,162.48
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-2,ap-southeast-5,77.67
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-2,ap-southeast-6,176.76
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-2,ap-southeast-7,99.88
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-2,ca-central-1,187.00
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-2,ca-west-1,146.20
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-2,eu-central-1,238.63
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-2,eu-central-2,230.28
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-2,eu-north-1,250.43
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-2,eu-south-1,221.36
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-2,eu-south-2,255.65
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-2,eu-west-1,240.59
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-2,eu-west-2,252.33
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-2,eu-west-3,257.75
2025-12-03 20:43:49,cloudping.co AWS,ap-northeast-2,il-central-1,277.86
