provider,region,latency_ms,distancia_km,latencia_norm
AWS,ap-northeast-3,231.33,1000.0,0.23133
AWS,ap-northeast-1,233.5,1000.0,0.2335
AWS,ap-southeast-1,267.0,11377.091838078877,0.023468211718776572
AWS,sa-east-1,273.5,1000.0,0.2735
AWS,ap-southeast-3,278.0,1000.0,0.278
AWS,ap-east-2,284.33,1000.0,0.28432999999999997
AWS,ap-southeast-5,286.0,1000.0,0.286
AWS,ap-southeast-7,288.5,1000.0,0.2885
AWS,ap-southeast-2,330.67,1000.0,0.33067
AWS,ap-southeast-4,355.67,1000.0,0.35567000000000004
AWS,eu-south-2,17.0,14.256019891511317,1.1924786952719233
AWS,eu-south-1,30.5,1000.0,0.0305
AWS,eu-central-2,33.0,1000.0,0.033
AWS,eu-west-2,35.5,1000.0,0.0355
AWS,eu-central-1,38.0,1000.0,0.038
AWS,eu-west-1,42.5,1436.8294550025428,0.029579014998634467
AWS,eu-north-1,59.0,1000.0,0.059
AWS,eu-west-3,67.5,1039.7465062975143,0.06491966993028343
AWS,me-south-1,98.5,1000.0,0.0985
AWS,ca-central-1,108.67,1000.0,0.10867
AWS,us-east-2,112.0,1000.0,0.112
AWS,us-east-1,114.67,6110.697301162967,0.018765452508697558
AWS,ap-south-1,116.33,1000.0,0.11633
AWS,me-central-1,123.5,1000.0,0.1235
AWS,ap-south-2,133.0,1000.0,0.133
AWS,af-south-1,133.0,1000.0,0.133
AWS,us-west-1,156.0,1000.0,0.156
AWS,ca-west-1,162.0,1000.0,0.162
AWS,us-west-2,164.0,1000.0,0.164
AWS,ap-east-1,178.0,1000.0,0.178
AWS,sa-east-1,224.5,1000.0,0.2245
AWS,ap-northeast-2,229.67,1000.0,0.22966999999999999
AWS,ap-northeast-3,234.0,1000.0,0.234
AWS,ap-northeast-1,241.33,1000.0,0.24133000000000002
AWS,ap-southeast-1,267.33,11377.091838078877,0.02349721737370989
AWS,ap-southeast-5,272.33,1000.0,0.27232999999999996
AWS,ap-east-2,278.0,1000.0,0.278
AWS,ap-southeast-3,283.0,1000.0,0.283
AWS,ap-southeast-7,304.33,1000.0,0.30433
AWS,ap-southeast-2,347.67,1000.0,0.34767000000000003
AWS,ap-southeast-4,358.67,1000.0,0.35867
AWS,eu-south-2,18.0,14.256019891511317,1.262624500876154
AWS,eu-south-1,30.33,1000.0,0.03033
AWS,eu-west-3,32.67,1039.7465062975143,0.031421120246257185
AWS,eu-west-2,34.33,1000.0,0.03433
AWS,eu-central-2,36.33,1000.0,0.03633
AWS,eu-central-1,38.67,1000.0,0.03867
AWS,eu-west-1,42.67,1436.8294550025428,0.029697331058629005
AWS,eu-north-1,62.67,1000.0,0.06267
AWS,me-south-1,98.67,1000.0,0.09867000000000001
AWS,us-east-1,98.75,6110.697301162967,0.016160185185609872
AWS,us-east-2,113.75,1000.0,0.11375
AWS,me-central-1,120.67,1000.0,0.12067
AWS,ap-south-1,122.33,1000.0,0.12233
AWS,af-south-1,129.0,1000.0,0.129
AWS,ap-south-2,129.67,1000.0,0.12966999999999998
AWS,ca-central-1,147.0,1000.0,0.147
AWS,us-west-1,155.25,1000.0,0.15525
AWS,ca-west-1,159.0,1000.0,0.159
AWS,us-west-2,164.25,1000.0,0.16425
AWS,ap-east-1,178.5,1000.0,0.1785
AWS,ap-northeast-2,215.0,1000.0,0.215
AWS,sa-east-1,225.0,1000.0,0.225
AWS,ap-northeast-1,228.67,1000.0,0.22866999999999998
AWS,ap-northeast-3,244.33,1000.0,0.24433000000000002
AWS,ap-southeast-5,272.0,1000.0,0.272
AWS,ap-southeast-3,283.0,1000.0,0.283
AWS,ap-east-2,286.25,1000.0,0.28625
AWS,ap-southeast-7,297.67,1000.0,0.29767
AWS,ap-southeast-1,305.0,11377.091838078877,0.026808256832310317
AWS,ap-southeast-4,344.0,1000.0,0.344
AWS,ap-southeast-2,345.33,1000.0,0.34532999999999997
AWS,eu-south-2,16.0,14.256019891511317,1.1223328896676925
AWS,eu-south-1,30.5,1000.0,0.0305
AWS,eu-west-3,33.5,1039.7465062975143,0.03221939174317771
AWS,eu-west-2,34.5,1000.0,0.0345
AWS,eu-central-2,34.5,1000.0,0.0345
AWS,eu-central-1,38.5,1000.0,0.0385
AWS,eu-west-1,40.5,1436.8294550025428,0.028187061351639904
AWS,eu-north-1,59.5,1000.0,0.0595
AWS,me-south-1,99.0,1000.0,0.099
AWS,us-east-2,107.33,1000.0,0.10733
AWS,us-east-1,111.33,6110.697301162967,0.01821887004267288
AWS,ap-south-1,113.0,1000.0,0.113
AWS,ca-central-1,115.5,1000.0,0.1155
AWS,me-central-1,121.0,1000.0,0.121
AWS,ap-south-2,125.67,1000.0,0.12567
AWS,af-south-1,131.0,1000.0,0.131
AWS,us-west-1,155.0,1000.0,0.155
AWS,ca-west-1,159.5,1000.0,0.1595
