2025-12-03 20:44:24,220 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513778290>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:24,221 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513778bf0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:26,224 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513779880>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:26,227 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513779b80>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:26,230 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513779e80>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:28,234 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513773410>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:28,235 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513773b30>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:28,236 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a95137732f0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:30,239 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a95137713d0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:30,240 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513772a80>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:30,242 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513771a90>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:32,245 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513771250>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:32,246 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513778e60>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:32,247 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513778260>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:34,250 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a95137797f0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:34,251 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a951377a240>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:34,252 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a951377a4b0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:36,254 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513771e50>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:36,255 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513773650>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:36,256 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513771e80>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:38,258 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513773560>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:38,259 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513773fe0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:38,260 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513773890>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:40,262 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513773e00>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:40,263 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513778c80>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:40,264 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a95137781d0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:42,266 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a951377a660>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:42,267 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a951377a870>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:42,268 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a951377aae0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:44,270 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513773cb0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:44,271 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513773410>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:44,272 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a95137738f0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:46,274 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513773260>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:46,275 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a95137713d0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:46,275 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513771cd0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:48,278 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513779ee0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:48,279 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a95137782c0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:48,280 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513778110>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:50,282 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a951377ae40>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:50,283 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a951377b080>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:50,285 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a951377c740>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:52,295 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513778d70>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:52,307 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513778e00>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:52,310 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513773500>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:54,321 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513771e50>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:54,324 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513772900>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:54,330 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513771a90>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:56,340 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513773560>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:56,341 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a95137739e0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:56,342 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a95137732f0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:58,344 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a951377cb00>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:58,345 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a951377cd40>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:44:58,354 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a951377cfb0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:45:00,393 | WARNING | Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513773a40>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:45:00,406 | WARNING | Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513773ce0>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
2025-12-03 20:45:00,407 | WARNING | Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7a9513773f80>: Failed to establish a new connection: [Errno 111] Connection refused')': /session/db3f2595cff18d10e80f2cf5d4f5da1e/elements
